ACN,incident_year,Aircraft 1 | Flight Phase,Environment | Flight Conditions,Environment | Weather Elements / Visibility,Environment | Light,Environment | Ceiling,true_label,predicted_label,score,error_type,text_word_count,text_main
2288259,2025,Initial Approach,,,,,1,0,0.495743992268508,FN,108,During arrival we set up for the approach as usual. When we began the descent with the Autopilot for the approach the Autopilot randomly disconnected. We ran the QRH procedure and the Autopilot came back. It disconnected again and at this point we were on the final approach. I was thinking as to why the aircraft disconnected the Autopilot while I was now hand flying. Because of that we slightly descended below minimums and as soon as I was about to execute the go around I heard 'approach lights' and then 'runway in sight'. Then landed the aircraft. In hindsight a go-around should've been executed and tried again.
2269341,2025,Initial Approach,,,,,1,0,0.4937366555949646,FN,167,Initially set up for RNAV Z XX; ceiling dropped to I think 300 FT OVC.We requested LOC XX since it has lower min.  1SM  XXX FT (XXX FT)Right at min. saw APP (Approach) LT and continued decent to 100 FT above TDZE (TouchDown Zone Elevation); when we broke out we were low on the PAPI. FO corrected immediately and we continued to land.Looking back we should have requested ILS XY with the lower min.'WE HAD NO GND. PROX WARNING OR LOW ALTITUDE ALERT FROM TOWER.Had we had either we would have executed a go around.Due to IROP (Irregular Operations) in ZZZ ; my schedule changed several times Flew in from ZZZ1 and due cancellations; I spend 7 hrs at the airport before flying to ZZZZ.I were not fatigued but probably not as alert as I should have been.Next time in a similar situation I will consider calling in fatigued.With the weather right at min. for the nonprecision  approach; next time I will request a ILS if available.
2238602,2025,Initial Approach,,,,,1,0,0.4922024731903798,FN,419,The CA made a detailed briefing on previous near mishaps into ZZZ due to the terrain risk on the RNAV for XX and the expectation that he wanted vectors outside of the IAF. He had me request vectors outside of ZZZZZ so we would be outside of that it IAF.The controller gave us the last vector that took us just inside ZZZZZ and the CA accepted. The direction was to intercept the final approach course and contact the tower.We were at conf 2 and 180 knots on the turn and at 3000 msl.The ca selected direct to the next fix on the nav page. He didn't realize that he selected ZZZZZ1.  He said confirm and then pressed insert before I could review the direct to selection  I was reading back the approach clearance and was confirming the tower frequency on the approach plate by looking on my iPad; so I was looking to my right.The ca set 2500 feet and V/S down and then engaged APP and said FINAL APP NAV. Flaps 2; 180 knots. The aircraft started a steep descent (to make the next fix it saw which was 1280 feet and not 2500).I was stating final app nav a few times to cue then ca and he didn't respond so started too say do you want me to set the missed approach alt and then the red warning light and audible went off and I looked to the ECAM and said the flaps over speed warning.The jet was essentially diving for the 1280 altitude and exceeded the 200 knot flap speed. I crossed compared our altitude to the approach plate and started that we are too low. I looked outside and confirmed we were too low.The Ca agreed and disconnected the AP and manually leveled us off. A few seconds later the tower issued us a low altitude alert. The ca stated that this is not right and unstable so let's just go around. I agreed. We didn't do a Togo go around as we were vfr and could see we were safe from terrain. We climbed back up to 3000 ft and vectored back around for a visual approach. I reloaded the approach and selected  the direct to when we were on base and confirmed it with the ca. we both ensured the correct direct to selections were made on the mcdu on the second approach.Cause: We got seperated operationally due to responding to atc and making AP selections at the same time without proper verification.
2247911,2025,Final Approach,VMC,Haze / Smoke; 5,Daylight,,1,0,0.4869695766475025,FN,207,On RNP RWY 35 approach between fixes PR502 and PR501 at 4500 ft MSL got a TCAS TA followed by a TCAS RA. Called tower at PR502 and they told us to continue the approach. Tower did not mention any traffic in the area. They told us to continue the approach and report a 5 mile final. The visibility was approximately 5 miles with smoke and dust. Immediately after that; we received the RA. FO called out the helicopter traffic that was coming from our right to left; essentially on a collision course with us. I called visual on that traffic immediately after. We then got the resolution advisory to climb; in which I followed procedures and RA guidance and initiated the climb. FO reported the RA to tower; and tower controller cleared us to land. We passed directly over the helicopter 500 ft above when RA commanded level off. After clear of conflict with helicopter visually passing behind us; runway visually in sight we decided to continue the approach. After passing traffic; tower finally told us about the helicopter traffic. Got the airplane configured for landing just past the FAF and met stabilized approach criteria prior to 500 ft; so continued on to an uneventful landing.
2269818,2025,Initial Approach,,,,,1,0,0.4799595425194072,FN,257,We were on a wide left downwind when cleared for a visual to runway 13.  Controller told us to stay within 6 miles.  The FAF marker for ILS 13 named CLIVE is 6.8 and has a published altitude of 2600 ft.  This was our backup to the visual.  The FO aimed on the base leg to fly slightly inside of CLIVE and dialed 2000 for an altitude to descend to.  As we were getting close to the localizer (1 mile?) the FO thought he was still too high as his glideslope was showing below us and chose to go down slightly further than planned to join on the localizer.  I was busy looking for the traffic we were following when we received a low altitude alert by ATC and simultaneously from the aircraft for landing gear not down (we were at flaps 2). I called to level up and answered ATC's query and noticed my radio altimeter showed approximately 950 ft.  The FO climbed approximately 200-300 feet and we finished configuring and running checklist.  The rest of the approach and landing was uneventful. Some parameters that contributed to this event was the clearance requiring us to fly inside the marker especially at night.  We should have asked for farther out.  The FOs dependence on the glideslope while still not in line with the localizer was inaccurate.  I should have divided my attention more to inside the cockpit rather than fixating looking for traffic.  The FO seemed to be a little fatigued as this was a late night.
2209804,2025,Initial Approach,IMC,Wind,Daylight,,1,0,0.4749904044879151,FN,361,ZZZ1-ZZZ flight.  Everything was going well.  At the end of the approach to ZZZZZ intersection. The ZZZ Approach controllers informed us of the airport is no longer landing north.  They vectored us on a heading to land south.  We are setup to Land ILS XXR now.  Once established on the XXR Localizer we get a glideslope flag.  I tell My FO that we can do the ILS with the GS flag showing on our PFD (Primary Flight Display).  We Asked to do a GO around.  What caught us off guard was that the Approach controller cleared us for the XXR.  However just before the go-around he informs us that the glideslope is out of service and we must prepare for an RNAV approach to XXR.We accepted the RNAV XXR.  We didn't rush. We received the ATIS and brief the approach in a calm and timely manner.  ATC clears us for the RNAV XXR approach.  However they call out the wrong intersections on the approach and we started to ask questions.  They wanted us to Go to ZZZZZ1 Intersection which was on the ILS approach.  We are IMC at this point.  After sorting out the fixes that ATC needs us to fly to it led to a distraction of us being 200 feet low at ZZZZZ2 intersection on the RNAV approach.  I called the GO around.  At this point I could see the tension in the flight deck starting to rise because we also had an alternate to ZZZ2.  I took control of the situation and transferred controls to the First Officer as I had to sort out why the distractions were happening.  Now the First Officer is flying.  We now receive the ILS approach for XXC and landed without issues.Suggestions: Ground workers were working on the ILS antenna and possibly didn't let ATC know that they XXR GS was inoperable.  As far as the RNAV approach to XXR.  The controllers were calling out incorrect fixes which let to a distraction in the flight deck.  Executing the Go around procedure was the right action in the IMC conditions.  We worked through the various problems on this approach and landed safely to XXC.
2199153,2025,Initial Approach,,,,,1,0,0.4744839624974438,FN,204,While on final approach after being cleared for the visual to XXL a wake turbulence event was encountered at 3000 feet. Tower was tied up for the radio call and we got a pretty good bump so I recommended to the PF to climb 200 feet and stay above his flight path to remain above the wake.  We knew it was an A330 6 miles ahead so we opted to continue on the approach and remain above the glide slope having 11000 feet of runway available to us and being on a visual approach.  I asked Tower at one point to slow and advised that we encountered wake turbulence but the request was denied…we continued down the approach and encountered a little more turbulence but remained stable (just above the glide slope) the entire time. A smooth and safe landing was made on XXL.  Unable to establish communication quick enough with ATC made us opt to climb 100-200 feet from the 3000 feet approach clearance.  Also the wake turbulence from the heavy jet and possible separation issue.  I'm not sure if it was preventable.  I'm sure ATC had adequate separation; we knew we were behind the traffic and tried to maintain our position appropriately.
2301285,2025,Landing,,10,Daylight,20000,1,0,0.4715803018296586,FN,242,Aircraft X suffered a prop strike upon landing at ZZZ today around XA40.  Active runway was XX; but they had closed it temporarily for an FOD search.  I was re-cleared for XY on a right base.  Winds were 290 at 8 knots.  I crossed the threshold a little fast (~80 mph) and bled the speed down as I floated.  I was on centerline with left rudder in; and I put the right main down first with the wind from the right.  The left main came down just as I came up to the XY x XX intersection.  I went airborne again (about 3-4 feet) and porpoised twice.  I should have gone around after the first bounce.  I had plenty of runway left; and I didn't force the plane down.  I don't know when the prop struck the ground; but I did not feel the prop strike impact nor did I feel any new vibrations in the plane while taxiing.  I didn't notice the damage until I did my parking walkaround.Overall; the day was a little sporty between 2000 and 3000 feet; and I thought the crosswind was within my personal minimums.  My touch and go at ZZZ1 was clean.  Winds there were calm below 1000 feet.  I am new to the airplane and need more training in this particular aircraft - especially in crosswinds.Contributing factors were inexperience landing in crosswind and having too much speed in over the runway and at touchdown.
2234964,2025,Initial Approach,,,,,1,0,0.4690283483871723,FN,302,"On approach into ZZZ; I landed with spoilers deployed. For the approach; I came in fast while having tight vectors to final; and to slow to deploy the flaps I applied spoilers. At some moment; I am unable to remember exactly; but I took my hand off the spoiler lever to adjust something else and forgot to put my hand back on the flight spoiler lever. Continuing with the approach; we came down and got a 'FLT SPOILERS DPLY' caution message. My Captain and I acknowledged this message; but mistakenly thought it was part of a write up that the plane had. This plane had 'Slat Fault;' 'Flaps Half Speed;' 'Duct Min Fault; 'Spoiler/Stab fault' and I think both the Captain and I mistook the spoilers message as a part of the issues from the write up. We had a safe landing on the runway; and upon turning off the runway we noticed I had mistakenly left the spoilers in. With post flight inspection; the spoilers didn't appear to have any visible damage. Following this event; my [Captain] submitted an report; and I tried; however my login wasn't working which we both attributed to me still being on IOE. He told me to not worry about it and that his report would be sufficient for the both of us.Hand being removed from the spoilers lever; Operating Experience training environment; mistaken EICAS message for previous aircraft issues. In the future; I will never remove my hand from the spoilers lever. Making that slip was costly and a huge error. I felt ashamed upon realizing; and intend to never let it happen again. My Captain encouraged me to include the spoiler lever as part of my  landing check on approach; and I intend to not let this happen again. I sincerely apologize for this."""
2259291,2025,Landing,,Turbulence; Thunderstorm; Windshear; 10,Dusk,4000,1,0,0.4614937962067464,FN,787,I was operating my Cessna 182 on a VFR flight from ZZZ1 to ZZZ2 with one passenger who is a fellow pilot on board.   Bad weather in thunderstorms and rain along our route of travel was building and slowly but surely closing in our destination airport. As we approached our destination; we were forced to adjust our flight track south around a large growing thunderstorm. We made contact with ZZZ Tower and asked to use their airspace to maneuver south of some rain we could see and then around to the north to our destination on the back side of the rain. We were approved to do so. Upon turning north and still in ZZZ's airspace. We encountered severe turbulence at 2500 MSL and aircraft performance increases due the storms front  edge now moving south instead of east that were not conducive to continued flight. We immediately turned around and requested landing at ZZZ. The tower cleared us to make a straight in landing for runway XXL. It was immediately apparent with the huge increase in performance we were experiencing that we could not descend. I noticed the wind was coming from the north now according to my Garmin G5 avionics at a velocity of 20 Kts. I inquired with the tower; who stated the airport winds were 170 @ 5 knots. As we were on a 1 mile final and now too high to land; the now moderate turbulence had died down a bit. I requested to the tower for runway XY due to this; and tower told me that they were unable due to other traffic. I informed the tower that I would then need to make a short approach to avoid the weather coming in very quickly from the north; only 1 mile away as I experienced; and I was  approved for a left descending 360 back to the downwind for XXL and a short approach. On the downwind leg; the severe turbulence was encountered again before even reaching the north end of the pavement. I elected to make short approach and I added full flaps at 90MPH while going to idle power; and turned for the runway. The severe wind event we were flying in wasn't allowing the airplane to descend much at all without the airspeed increasing. I was writhing my flap speed at 93MPH but couldn't afford more airspeed increase to prevent a flap overspeed. I placed the airplane in a left hand slip and brought it down to the runway at mid field which would typically be significantly more runway than needed in a calm wind or with any head wind situation.  I regularly operate the airplane off a 2500 [foot] grass strip with very sufficient margins. I was carrying about 15 MPH extra airspeed due to the tail wind I was experiencing. In the flair; I noticed late; that the Garmin was now indicating a 20 MPH tail wind. I touched down very long with about 2000' of runway remaining; which again would typically be more than 2.5 times the needed runway for this airplane on a normal day. But my ground speed was higher due the tail wind and the wind event was very severe requiring heavy aileron and elevator inputs to keep the airplane on the runway and straight.It was apparent to me that a go around was no longer a suitable or safe option and with what I now believed to be severe tailwind shear event; a huge decrease in performance could result in a catastrophic outcome on an attempted departure in these conditions. So I mashed on the brakes knowing I had sufficient runway to stop; but also knowing the tires would skid. The right tire then blew out with about 1200 feet of runway remaining. I held centerline and brought the airplane to an easier stop and maintaining centerline control with 800' of runway remaining. I notified the tower of the blow tire and my inability to exit the runway and needing assistance of a dolly. Tower sent the airport ops truck which was nearby and requested and was granted to shut the airplane off and go off radios to work with airport ops.It took about 45 mins to locate the dolly; retrieve it; and get the airplane on the dolly and clear of the runway under its own power. I informed the tower over the radio when the runway was clear and received taxi instructions to taxi the aircraft slowly on the dolly The tire had spun in the rim; which caused the valve stem to spin and shear off causing the blowout. There was no other damage to the aircraft or airport.  Neither myself or my passenger were injured in any way.
