case_group,ACN,incident_year,Aircraft 1 | Flight Phase,Environment | Flight Conditions,Environment | Weather Elements / Visibility,Environment | Light,Environment | Ceiling,true_label,predicted_label,score,text_word_count,narrative_excerpt
False Negative,2288259,2025,Initial Approach,,,,,1,0,0.495743992268508,108,During arrival we set up for the approach as usual. When we began the descent with the Autopilot for the approach the Autopilot randomly disconnected. We ran the QRH procedure and the Autopilot came back. It disconnected again and at this point we were on the final approach. I was thinking as to why the aircraft disconnected the Autopilot while I was now hand flying. Because of that we slightly descended below minimums and as soon as I was about to execute the go around I heard 'approach lights' and then 'runway in sight'. Then landed the aircraft. In hindsight a go-around should've been executed and tried again.
False Negative,2269341,2025,Initial Approach,,,,,1,0,0.4937366555949646,167,Initially set up for RNAV Z XX; ceiling dropped to I think 300 FT OVC.We requested LOC XX since it has lower min.  1SM  XXX FT (XXX FT)Right at min. saw APP (Approach) LT and continued decent to 100 FT above TDZE (TouchDown Zone Elevation); when we broke out we were low on the PAPI. FO corrected immediately and we continued to land.Looking back we should have requested ILS XY with the lower min.'WE HAD NO GND. PROX WARNING OR LOW ALTITUDE ALERT FROM TOWER.Had we had either we would have executed a go around.Due to IROP (Irregular Operations) in ZZZ ; my schedule changed several times Flew in from ZZZ1 and due cancellations; I spend 7 hrs at the airport before flying to ZZZZ.I were not fatigu
False Negative,2238602,2025,Initial Approach,,,,,1,0,0.4922024731903798,419,The CA made a detailed briefing on previous near mishaps into ZZZ due to the terrain risk on the RNAV for XX and the expectation that he wanted vectors outside of the IAF. He had me request vectors outside of ZZZZZ so we would be outside of that it IAF.The controller gave us the last vector that took us just inside ZZZZZ and the CA accepted. The direction was to intercept the final approach course and contact the tower.We were at conf 2 and 180 knots on the turn and at 3000 msl.The ca selected direct to the next fix on the nav page. He didn't realize that he selected ZZZZZ1.  He said confirm and then pressed insert before I could review the direct to selection  I was reading back the approac
False Negative,2247911,2025,Final Approach,VMC,Haze / Smoke; 5,Daylight,,1,0,0.4869695766475025,207,On RNP RWY 35 approach between fixes PR502 and PR501 at 4500 ft MSL got a TCAS TA followed by a TCAS RA. Called tower at PR502 and they told us to continue the approach. Tower did not mention any traffic in the area. They told us to continue the approach and report a 5 mile final. The visibility was approximately 5 miles with smoke and dust. Immediately after that; we received the RA. FO called out the helicopter traffic that was coming from our right to left; essentially on a collision course with us. I called visual on that traffic immediately after. We then got the resolution advisory to climb; in which I followed procedures and RA guidance and initiated the climb. FO reported the RA to t
False Negative,2269818,2025,Initial Approach,,,,,1,0,0.4799595425194072,257,We were on a wide left downwind when cleared for a visual to runway 13.  Controller told us to stay within 6 miles.  The FAF marker for ILS 13 named CLIVE is 6.8 and has a published altitude of 2600 ft.  This was our backup to the visual.  The FO aimed on the base leg to fly slightly inside of CLIVE and dialed 2000 for an altitude to descend to.  As we were getting close to the localizer (1 mile?) the FO thought he was still too high as his glideslope was showing below us and chose to go down slightly further than planned to join on the localizer.  I was busy looking for the traffic we were following when we received a low altitude alert by ATC and simultaneously from the aircraft for landin
False Negative,2209804,2025,Initial Approach,IMC,Wind,Daylight,,1,0,0.4749904044879151,361,ZZZ1-ZZZ flight.  Everything was going well.  At the end of the approach to ZZZZZ intersection. The ZZZ Approach controllers informed us of the airport is no longer landing north.  They vectored us on a heading to land south.  We are setup to Land ILS XXR now.  Once established on the XXR Localizer we get a glideslope flag.  I tell My FO that we can do the ILS with the GS flag showing on our PFD (Primary Flight Display).  We Asked to do a GO around.  What caught us off guard was that the Approach controller cleared us for the XXR.  However just before the go-around he informs us that the glideslope is out of service and we must prepare for an RNAV approach to XXR.We accepted the RNAV XXR.  W
False Negative,2199153,2025,Initial Approach,,,,,1,0,0.4744839624974438,204,While on final approach after being cleared for the visual to XXL a wake turbulence event was encountered at 3000 feet. Tower was tied up for the radio call and we got a pretty good bump so I recommended to the PF to climb 200 feet and stay above his flight path to remain above the wake.  We knew it was an A330 6 miles ahead so we opted to continue on the approach and remain above the glide slope having 11000 feet of runway available to us and being on a visual approach.  I asked Tower at one point to slow and advised that we encountered wake turbulence but the request was denied…we continued down the approach and encountered a little more turbulence but remained stable (just above the glide
False Negative,2301285,2025,Landing,,10,Daylight,20000.0,1,0,0.4715803018296586,242,Aircraft X suffered a prop strike upon landing at ZZZ today around XA40.  Active runway was XX; but they had closed it temporarily for an FOD search.  I was re-cleared for XY on a right base.  Winds were 290 at 8 knots.  I crossed the threshold a little fast (~80 mph) and bled the speed down as I floated.  I was on centerline with left rudder in; and I put the right main down first with the wind from the right.  The left main came down just as I came up to the XY x XX intersection.  I went airborne again (about 3-4 feet) and porpoised twice.  I should have gone around after the first bounce.  I had plenty of runway left; and I didn't force the plane down.  I don't know when the prop struck t
False Negative,2234964,2025,Initial Approach,,,,,1,0,0.4690283483871723,302,On approach into ZZZ; I landed with spoilers deployed. For the approach; I came in fast while having tight vectors to final; and to slow to deploy the flaps I applied spoilers. At some moment; I am unable to remember exactly; but I took my hand off the spoiler lever to adjust something else and forgot to put my hand back on the flight spoiler lever. Continuing with the approach; we came down and got a 'FLT SPOILERS DPLY' caution message. My Captain and I acknowledged this message; but mistakenly thought it was part of a write up that the plane had. This plane had 'Slat Fault;' 'Flaps Half Speed;' 'Duct Min Fault; 'Spoiler/Stab fault' and I think both the Captain and I mistook the spoilers me
False Negative,2259291,2025,Landing,,Turbulence; Thunderstorm; Windshear; 10,Dusk,4000.0,1,0,0.4614937962067464,787,I was operating my Cessna 182 on a VFR flight from ZZZ1 to ZZZ2 with one passenger who is a fellow pilot on board.   Bad weather in thunderstorms and rain along our route of travel was building and slowly but surely closing in our destination airport. As we approached our destination; we were forced to adjust our flight track south around a large growing thunderstorm. We made contact with ZZZ Tower and asked to use their airspace to maneuver south of some rain we could see and then around to the north to our destination on the back side of the rain. We were approved to do so. Upon turning north and still in ZZZ's airspace. We encountered severe turbulence at 2500 MSL and aircraft performance
False Negative,2259775,2025,Final Approach,VMC,,,,1,0,0.4576711810236685,179,Joined the ILS XXL (cleared for visual) at 10000'. ATC asked us to slow to 160kias right as we joined the glideslope and set our bottom altitude at 10000'. I called for gear and final flaps 30; landing checklist. I verbalized that it looked like some virga. Somewhere shortly after (kind of a blur);  AP (Autopilot)/AT (Autothrottles) were engaged; throttles were at idle for slowing. We got an abrupt pitch up from the autopilot and about a 20kt loss. I wasn't sure it met the exact parameters; but a recovery was needed. So I grabbed the controls and said 'upset; push; roll; thrust' I disengaged the AP; squeezed the AT; pushed the nose down; wings were mostly level; and applied full thrust. It p
False Negative,2250964,2025,Final Approach,VMC,,,,1,0,0.4540899059707176,226,SFO ATIS advertised charted visual flight procedures. We briefed and set up for the charted visual flight procedure 28L. Then when advised to expect 28R we set up the charted visual flight procedure 28R. But on the base leg ATC instructed us to turn to a heading and intercept the localizer; not the visual flight procedure course. I hand flew the intercept and remained to the center or right of the LOC course in order to avoid an RA. However at the same time another aircraft behind and above us was vectored onto the LOC for 28L. As they intercepted their LOC and descended we received a 'Traffic Traffic' followed by a descending TCAS RA. I complied with the RA. Once we received 'clear of confl
False Negative,2277753,2025,Initial Approach,VMC,Haze / Smoke,Night,,1,0,0.4529499981814782,308,As we were approaching ALB we were on a downwind leg vector of 350 degrees. The weather was hazy with few clouds around 3;000 feet; but VMC. The Tower queried us if we had the airport in sight. The Captain confirmed he saw it to his left and informed the Tower that we had it in sight. We were then cleared to accomplish a visual approach. I continued on 350 degrees to slow the aircraft and begin adding flaps. We also began a descent to 2;000 feet prior to initiating a left base leg. As we were descending we saw indications that we were well above glideslope; which turned out to be a false glideslope. We entered 1;600 into the altitude selector on a dogleg to final of 19. We had the ILS 19 app
False Negative,2260607,2025,Final Approach,VMC,,,,1,0,0.4526156248749441,115,Full approach didn't load. Got a late direct to an intermediate fix. Armed approach at appropriate time. Descended so as not to level off on approach. Spun altitude down to FAF altitude of 2000 ft. Flight Director (FD) showed high; however; we could see visually that we were low. Just prior to leveling at 2000 ft.; ATC issued low altitude alert. We were cleared for RNAV approach. As we were VMC; we saw the issue and decided to level at 2000 ft. with no conflict with terrain. At FAF and 2000 ft.; flew remainder of approach manually. First Officer (FO) had some issues getting the late waypoint addition into the Multi-purpose Control Display Unit (MCDU).
False Negative,2212360,2025,Final Approach,VMC,,,,1,0,0.4510961492016104,201,Enaga3A arrival that joined up to the ILS Y 05R MMMX. We were vectored off of the arrival a couple of times and given altitudes to descend to and then were cleared back on to the arrival and were cleared for the ILS Y 05R. PF selected Level Change to descend while off of the arrival and when we were cleared back on the arrival and cleared for the approach Level Change was the mode still selected. Once inside MX960 Touchdown Zone was set. Once on the final approach course and in VMC with the runway in sight I noticed that we seemed to be lower than I would have expected to be on final at this point. My eyes immediately went to the Mode Control Panel and I verified with the Flight Mode Annunci
False Negative,2201037,2025,Final Approach,VMC,,,,1,0,0.4365307466430977,218,Very busy approach with numerous threats. New CA training in left seat; Line Check Pilot (LCP) in right seat; F40 landing (lots of discussion about not forgetting to go to F40); close in traffic with TCAS TAs; multiple close in step downs from ATC resulting in constant manipulation of Mode Control Panel (MCP); long duty day; long trip with 4 reassignments; cumulative sleep deficit (numerous discussions by both pilots about how exhausted and 'brain fried' we were); shorter than planned and expected layovers due to delays and reassignments.At about 700' on visual approach to XXR; tower issued a low altitude alert for our flight.  We both noticed that we were below our path; Trainee in left sea
False Negative,2279966,2025,Final Approach,,,,,1,0,0.4364896419909823,149,We had a last minute approach change from the RNAV XX to the ILS XX and cleared to a fix on the ILS and cleared for the approach. I quickly changed the approach in the FMS with direct to the requested fix when I realized we were too high. I notified tower that we needed a right circle in order to lose altitude. We were given a right turn to 300 with a descent altitude which I read back but in the confusion I told the flying pilot to turn to 360 which I mistakenly remembered. This heading turned us directly towards the terrain which we had in sight with good visibility. We continued the turn as directed by ATC to an uneventful landing. Suggestions: Better coordination between controllers to a
False Negative,2278235,2025,Final Approach,VMC,Thin overcast; 10,Night,2500.0,1,0,0.4361578388342332,1183,During a night VMC arrival into TEB we set up for an ILS Z Runway 06 with an initial approach fix at VINGS intersection. The last ATIS we received showed favorable weather with the possibility for LAHSO operations on both runways. As a crew decided we would not accept LAHSO due to limited distances. The Approach Controller issued the standard Runway 06 ILS clearance when we were approximately 2 miles west of VINGS; with the addition of 'expect to circle to land Runway 01'. This was the first time we heard this requirement; and the approach was duly read back/accepted.Once passing VINGS at 2000'; there are multiple crossing fixes at waypoints LEESY (1700A) and a mandatory 1500' at Dandy; afte
False Negative,2227719,2025,Final Approach,VMC,,,,1,0,0.4316531637476867,173,On arrival we were assigned to descend via the RAVNN7 landing RWY28. We were filed from CACYE. Prior to the TOGAH fix; approach assigned us to fly current heading and descend to 2000. This vector placed us on a base leg that intersects the ILS28 final approach course between SOULZ and JURTI.  Approach Control then asked us to call the field in sight. When we called the field in sight approach cleared us for the visual to RWY 28.  At this point I requested the FO to extend off JURTI and set the FAF altitude 1300. While we were descending slowing and lowering the landing gear; Approach Control gave us a low altitude alert and stated that minimum vectoring altitude was 1700 feet. I immediately 
False Negative,2287389,2025,Initial Approach,,,,,1,0,0.4292635344932073,36,Conducted go-around at ZZZ on arrival from ZZZ1. GPS RNAV XXR failed briefly on the approach after the final fix; FCP transitioned to vpath and glidepath was low after this event. Used ILS on second approach.
False Negative,2301459,2025,Landing,,,,,1,0,0.4225813306697196,129,During arrival briefing capt insisted on using flaps 3.   I asked about landing distance seemed adequate.  Rnav y 29 was planned and flown .  Last 100 feet path got flat and low.  I mentioned that he cannot land on the displaced threshold.   At around 30-50 ft.  Capt pitch for runway threshold and may have landed on displaced theshold.   I think he landed on available runway; but not positive….Cause: Capt insisted on flaps 3 on a short runway.  I did the landing distance and it was approximately 300 ft more than flaps full.   My rationale was that sbp runway was 300-400 ft longer than sna so it should work out.   Capt for some unknown reason insisted on flaps 3.  He mentioned that as an Fo; 
False Negative,2289985,2025,Landing,IMC,,,,1,0,0.4219097450066918,78,After being cleared to land; Dulles tower advised us that a heavy 777 departed before us and to 'Caution wake turbulence.' The approach was stable and during the flare we hit their wake turbulence. We floated a bit and as I deployed the reverse thrust; we received a 'Long landing! Long landing!' aural alert. Since the thrust reversers were deployed; we did not go-around. We exited at the planned taxi way and taxied to the gate without event.
False Negative,2253177,2025,Landing,VMC,,Daylight,,1,0,0.4137481145731077,326,This event occurred in a PA18 Supercub during a solo approach to landing on Runway XX at ZZZ. Wind was variable at approximately 5 knots. ZZZ is notorious for quickly changing wind patterns and mechanical turbulence from nearby trees. That said. I was not scared of landing this airplane nor was I overconfident. I trusted my training and my skills to execute a safe landing; especially because I had previously conducted safe landings with 10+ knots of direct crosswind. My first approach to landing resulted in a full forward slip on final and felt unstable; so I executed a go-around from the roundout phase. Specifically; I felt that the tailwheel was not straight due to my forward slip.My secon
