ACN,incident_year,Aircraft 1 | Flight Phase,Environment | Flight Conditions,Environment | Weather Elements / Visibility,Environment | Light,Environment | Ceiling,true_label,predicted_label,score,error_type,text_word_count,text_main
2270173,2025,Final Approach; Initial Approach,VMC,,Daylight,,1,1,0.9967807240185566,TP,484,"We were cleared for a visual approach to Runway XX at ZZZ. ATC requested that we keep our base within 6 nm of the approach end of Runway XX due to traffic spacing. In order to 'help out ATC we accepted the clearance. We were initially high and fast; so the pilot flying (PF) elected to slow by dropping the gear early; and extend the spoilers. This allowed us to lose altitude and try and slow as we made a 5 nm left base. We also configured on speed with Flaps 20; and then Flaps 30. After we extended the flaps to 30 (with the gear and spoilers extended) it began to look like we would be stable by 500 ft. This made it feel similar to the approach that we had into ZZZ1 on the previous leg. As we approached 600 feet the PF stowed the spoilers; expecting the drag from flaps and gear extended; and with idle throttles to allow us to be stable by 500 ft. Nearing 500 ft; the PF noticed the auto throttles may have gone above IDLE power; keeping us slightly faster than anticipated. When the PF pulled back on the thrust levers to ensure they were at idle the auto throttles automatically disengaged. With idle to near idle power to correct the speed; and descending to the runway; we received a sink rate aural warning due to a momentary increase in descent rate. The PF adjusted pitch to reduce our descent rate; eventually getting to vref by the threshold. We landed within the touchdown zone of the runway and exited well before the end.The approach was steeper than expected for a visual into the flat terrain of ZZZ. The Auto throttle disengagement annunciation.Pilot monitoring (PM) crosscheck of instrumentsCause: Attempt to satisfy or exceed ATC request for a short approach; despite being high on energy (high and fast)Lack of recent flying in the aircraft by the PF. 2 or 3 legs in the last 2-3 months.Lack of recent auto throttle experience by PF. 2-3 legs in 6 months or more.Successful previous steep approach into ZZZ1 on the previous leg.We put ourselves in a position to make an unnecessary steep approach; which delayed getting stable to about 500 ft. Despite being able to make it work; an issue with the auto throttle put our speed near (and possibly slightly over) the vref +10 at 500 ft. If so; we should've gone around. Suggestions: Don't accept a steep approach from when it's not needed. Especially to just help ATC. Request additional vectors; or simply go missed early. Don't let your guard down on the auto throttles. They can easily put you in a bad situation if you don't constantly monitor them and ensure they are doing what you want as the PF. If you think you might've been outside a stabilized approach parameter; just go around and try it again."""
2233063,2025,Final Approach; Initial Approach,,,,,1,1,0.9913599224738924,TP,222,"When flying into SAV they were advertising the visual approach to Runway 28. I backed it up with the RNAV approach (this is the only one they had available). We were cleared for the approach when we reported the airport in sight. I started the approach by intercepting the final course then followed by the glide path. As we were descending on the glide path I began to notice that we were relatively high on the PAPIs. All four indicators were white while on glide path. I verbally stated that I was correcting to meet the PAPIs. This required a more steep angle than it should have. My Captain Operating Experience candidate was monitoring the vertical speed and air speed; as was I. I had to maintain 1000 fpm to try to meet the PAPIs. We never got on the PAPIs. At no time did the approach go unstable per the stabilized approach criteria. I was planning on a go-around if it did. I did get one sink rate"" warning at the beginning of the flare but indicated I was correcting. We landed normally; on proper speed in the touchdown with a normal touchdown rate. I wanted to bring this up because I feel this could result in problems if it were to go down to minimums on an actual instrument approach."""
2229971,2025,Initial Approach,VMC,,Daylight,,1,1,0.9895388954059576,TP,252,While on the approach to landing in gusty conditions; a single audible 'sink rate' sounded. As pilot flying I pitched up and added power while announcing 'correcting.' Approximately 3 to 5 seconds later another single audible 'sink rate' sounded. again; I added power and pitched up. At the second 'sink rate' I scanned my speed and VSI and observed them to be within the stabilized approach criteria and elected to continue the approach having internally considered calling for a go around. The flight continued and landed safely without  incident. During the debriefing portion of the post-flight; the captain commented he had momentarily observed a VSI of 1200 FMP and that the approach may have been unstable. Though I believe I responded promptly to the 'sink rate call;' I failed to verify the HAT (Height Above Touchdown) at the time the audible warning sounded and believe a go around would have been the proper course of action as a result. The cause of this event was my failure ensure stabilized approach criteria were maintained. I believe the gusty wind conditions contributed. Additionally; I believe I was subject to confirmation bias; when the captain did not call for a go around; I assumed that he agreed with my assessment that the approach was still within stable criteria.  While we had briefed the gusty conditions during the approach briefing; a briefing of the stabilized approach criteria and specifically that any EGPWS notification below 500' HAT requires an immediate go around would have avoided this event.
2216840,2025,Final Approach,VMC,,,,1,1,0.9890069673244636,TP,186,Base leg for visual XXL downwind descending from 6;000 ft to 1800 ft. Turned in close and high by approach of XXL at ZZZ.  Tailwind of 27 knots. Ended up at FAF (ZZZZZ) at approximately 185 - 180 Knots gear down flaps 20. G/S did not capture and commanded level off. Autopilot still on at this time. Touchdown elevation was set as soon as we passed ZZZZZ.  A/C staring adding power and leveling off. Auto pilot disengaged shortly [after] ZZZZZ. Aircraft now higher and faster 185 knots approximately.  I deployed speed brakes and started descending trying to catch glide slope. Hit 1000 foot gate.  Flaps to 25 then 30. Slowing but coming down too fast. Descended through glide slope. Got 'GLIDESLOPE' warning approximately 700 feet. Transitioned visually to PAPI; showing two red one white. Continued to 500 ft call. Aircraft approximately 8 knots above target flaps 30 landing checklist complete. Asked crew verbally if they were comfortable with continuing. They said yes; I said stable and continued approach. Keeping 2 red and 1 white on PAPI. Landed in touchdown zone. Uneventful rollout and taxi to gate.
2260551,2025,Final Approach,IMC,Rain,,,1,1,0.9858779824738676,TP,191,During our approach into ZZZ we executed a go around due to not being stable by 1000ft. We got to focused on weather near the field and were distracted trying to make a decision on if we were going to beat the storms in. Because of that distraction we ended up starting the approach high and fast. In trying to get down and slow down we found ourselves not configured for landing and below glideslope by 1000ft. ATC then called out a low altitude alert. so we immediately executed a go around to try the approach again. On our second attempt at the approach the storms had moved closer into the airport and had intensified. We were painting extreme precipitation on top of the field for the second attempt at which point we decided to just divert to ZZZ1 and wait out the storms. Landed in ZZZ1 without incident.Cause: 'Got fixated on the weather trying to make a decision that as pilot monitoring I failed to notice that we were high and fast. In turn not properly backing up my captain who was pilot flying.Suggestion: Need to remember to not fixate.
2274341,2025,Initial Approach,VMC,,Daylight,,1,1,0.9849681908577338,TP,197,During a visual approach; the aircraft started out too high above the glide path. The FO was hand flying and began descending too aggressively and overcorrected; ending up low below the glide path. After completing the before landing checklist the CA recognized and called out a high rate of descent and corrections were made. Tower issued a low altitude alert. The aircraft was returned to a normal glide path and continued to land.The CA and FO were unfamiliar with the landing airport and assigned procedure; and a lack of experience in the aircraft for the FO; especially recent experience; led to a higher level of saturation during the approach. Task saturation and inadequate monitoring from PM during a critical moment prevented early recognition. Poor decision making from both pilots led them to continue to land after deviating from stabilized approach criteria.The approach could have potentially gone better if there had been a more thorough briefing of the final portion of the visual approach. Better monitoring from the PM could have also helped to correct the deviation sooner. Beyond that; the decision to go around should have been made after the deviation from a stabilized approach had occurred.
2295562,2025,Final Approach,VMC,,,,1,1,0.9833134888115342,TP,113,"During approach to IAH; RUNWAY 26R; we were following a Heavy 767. Approach kept us fast (210kts) and high (5K) during the base leg and final to 26R. When cleared for the approach; we were high/above the glide slope. I disconnected the AP (Autopilot) and AT (Autothrottles); while attempting to capture the glide slope. Upon capturing the glide slope; we were fast. FO progressively lowered the flaps in accordance with the transitional speeds in an effort to slow us and stabilize"" the approach. Once stable; we began experiencing Wake Turb from the 767.  It was then that we elected to conduct a Go-Around due to becoming unstable. Missed approach was conducted without incident."""
2251886,2025,Final Approach,VMC,,,,1,1,0.9827789066308396,TP,299,Arriving into SFO and still on the DYAMD5 arrival; we were cleared for the ILS 28R approach from ARCHI. The airplane stayed in LNAV/VNAV PTH the whole time until just past CEPIN; when the First Officer (FO) who was pilot flying (PF); armed approach mode and LOC and GS became active. The localizer and glide slope diamonds were right on at the time the modes became active; Autopilot CMD B was engaged; and we were gear down at Flaps 15. At around 1;800' approaching AXMUL just as the FO had called for Flaps 30 and the landing checklist; the airplane had a slight rolling motion and began to pitch up. At first it felt like wake turbulence but then we noticed the glideslope diamond at about half a dot above (airplane below glide slope) and continuing to trend upwards. The next thing we noticed was the airspeed starting to decay; so the FO immediately added thrust. By the time the airspeed came back to a positive trend; the glideslope diamond was at about half a dot below (airplane above glideslope) and trending downwards; and the airplane started to pitch down to chase the glideslope. The FO then turned off the Autopilot; at which point we were at about half a dot low again on the glideslope; and recovered the path. ATC issued a low altitude warning to us around the same time at around 1;300' at which time we were proceeding visually with the PAPIs showing 3 red 1 white. The airplane was fully configured shortly after by the time we reached 1;000' and stable at the 500' gate. We reported the erratic glideslope to ATC and the rest of the approach and landing was uneventful. No low airspeed; stick shaker; or overspeed warnings were activated during the approach.
2290408,2025,Final Approach,VMC,,,,1,1,0.9826621832881708,TP,640,FO was PF and I was PM. Arrival/approach briefing and preparation was good and completed prior to TOD. Our STAR into ZZZ was the ZZZZZ; but we were vectored off the arrival to the east of ZZZ and for a visual approach. Weather at ZZZ was completely day VMC with higher clouds at the time. Consequently; we never lost visual on the airport or terrain throughout the approach. All was normal until we received the visual approach clearance. Our visual approach clearance to XXR was a little different because it occurred with a vector that would have us intercept final after ZZZZZ [fix]. This confused the FO where he wasn't clear on what or if any certain altitudes needed to be maintained (he didn't verbalize this in flight). We were also told to stay visual with another aircraft in front of us and landing XXL.After the approach clearance; the FO asked for TDZE to be set. I told him we couldn't do that because LV CH was currently selected. He then asked me to select V/S and 900 FPM down. After I selected V/S 900 FPM down for him; he then asked for TDZE to be set. While I wouldn't have made this MCP (Mode Control Panel) choice; I didn't want to fly the airplane for him; and since it wasn't an SOP violation; I did as he asked and figured we could debrief other options after landing. I knew 900 FPM down was too much; but at this point; I thought it was best to let him figure that out and make corrections on his own.From here; it was a case of 'how far do you let an FO go before you direct another action?' Quite simply; I waited too long because I didn't account for the fact I was PM and would become more distracted by ATC comm; setting flaps; setting speeds; and doing the Landing Checklist as we got closer to the airport. Additionally; I was also distracted in staying visual with the aircraft in front of us landing XXL.The FO crossed abeam ZZZZZ about 300 ft below the 1800 ZZZZZ charted altitude. I did notice we were below GS at this point but chose not say anything yet and let the FO correct on his own. Unfortunately; the debrief revealed that the FO was 'tunnel vision' on the FD (Flight Director) and not looking at the PAPI or the GS indications. Since he also got behind in configuring the aircraft; I became concerned with stabilized approach criteria and prioritized proper gear/flap configuration over the fact we were well below GS. I reported 1000' and the need for Flaps 30 since we were still at Flaps 25. The landing checklist was completed late at about 800 ft. Keep in mind we were VMC; never slow and always had airport and terrain easily in sight. That said we were now showing full scale deflection below GS. Now at 800 ft is when I became very verbal and directive stating the need to level off and capture the GS before 500' or we would have to go around. Essentially; the fact I was visual with airport/terrain combined with my concern over making the 500' gate; caused me to forget how grossly we were in violation of the WARNING in both the FOM and FM (Flight Manual) regarding the need to follow a normal GS after the visual approach clearance. We fully met stabilized approach criteria by 500' and the remainder of the approach/landing was without incident or concern.Looking back; it's easy for me to say that I needed to speak up much earlier and be more directive abeam ZZZZZ. However; I also know the previously mentioned PM approach phase duties/distractions; and me being awake for over 13 hours; hindered my actions.This was thoroughly debriefed between me and the FO.
2291400,2025,Final Approach,,,,,1,1,0.9816905277079696,TP,381,I was Pilot Monitoring (PM) during  a morning arrival into a high traffic environment at ZZZ.  The airport was landing on parallel runways XXR and XY with departures on XXL.  The airspace congestion level was evidently high as we listened to an aircraft ahead of us respond to a TCAS Resolution Advisory during their approach.  Once we were given our turn to intercept final at approximately 4000ft; we received a TCAS TA for traffic parallel to us off our right wing.  During this time the pilot flying (PF) was configuring to slow the aircraft as we were slightly fast for this segment of the approach.  As I shifted my attention back to the instruments after verifying the Traffic Advisory; I noticed we were going above glideslope and recommended descending to a lower altitude.  The PF commenced the descent and configured for landing.  Upon completion of the landing checklist; I scanned the instruments to verify we had gotten back on gludeslope and decelerating toward final approach speed.  At 500 ft; the aircraft remained within stabilized approach criteria.  The glare from the sun was intense; making visibility of both the runway environment and instruments more difficult. Around 200-300ft; I had shifted my scan outside noticed the PAPI was indicating 3 red and 1 white; shortly followed by 4 red.  At this point I called out Four Red which the PF responded to and corrected the flight path.  Simultaneously; just as we observed the 4 red lights on the PAPI; we received the glideslope alert.  I was able to immediately and unequivocally determine that obstacles were not a factor on final as the PF corrected for glideslope and an uneventful landing ensued.Looking back on the approach; I feel I could have been more forthcoming with my recommendations as I felt we were fast; and would be challenged to achieve stabilized approach criteria this morning.  Additionally; I should better understand that the outside distractions of traffic and sun glare can affect my scan and ability to provide critical PM backup to the PF.  In the future to mitigate these challenges I will need to be more assertive with flight parameters that I feel would lead to an unstable approach; and better prepare the flight deck for environmental factors (by using sun shades in this case).
