case_group,ACN,incident_year,Aircraft 1 | Flight Phase,Environment | Flight Conditions,Environment | Weather Elements / Visibility,Environment | Light,Environment | Ceiling,true_label,predicted_label,score,text_word_count,narrative_excerpt
False Positive,2203982,2025,Landing,VMC,,,,0,1,0.997167542576532,757,Day 2 of a 4 day. Probationary FO with around 200 hours in the aircraft. Threat forward brief was utilized. Full arrival briefing was conducted at cruise Including a discussion (per pilot bulletin) of -900ER tail strike avoidance. CA was PM. Uneventful arrival and approach. Vectors for RNAV XXL at ZZZ. FO was flying. No issues with the approach; full SOP compliance and in LNAV and VNAV with a stable approach through 1000 and 500 gates. Ceilings were slightly above LNAV/VNAV minimums so we did break out just above minimums but with RNAV minimums; PF was visual at 500 and very stable. The gradient path did bring the aircraft slightly high once visual (3 white; 1 red) and the FO was slightly sl
False Positive,2300011,2025,Initial Approach,,,,,0,1,0.9662549303096598,247,Flying into RAP ATC cut us in for a tight visual approach to 14 due to two aircraft coming in behind us. We had set up for the RNAV; and elected to take the visual rather than a potentially extensive delay. The FO was flying; once cleared for the visual approach the FO vectored himself further down wind and outside of the final approach fix to set himself up for a better turn onto final. In his turn he began descending and configuring for the visual approach. Coming out of his turn he mistook Ellsworth AFB for RAP; stated that he was a bit high and initiated a descent to try and correct the issue. As PM I recognized the error and called out that he was attempting to descend for the incorrect
False Positive,2305215,2025,Initial Approach,VMC,,Night,,0,1,0.958156461984646,260,During the approach to landing; at night; ZZZ approached cleared us for a Visual Approach to Runway XX; while in a left downwind. FO and I discussed how he would execute the Visual Approach; we talked about not exceeding 5 miles from the end of runway XX. The base turn was approximately 4 miles; just at the Final Approach Fix; we started configuring on the base leg and were fully configured before turning onto final. The glide slope was alive and showing us high on the glide slope. The PF put us in a shallow descent to recapture the glide slope. We were a little off course from the final when we received an ATC notice about altitude. We had visual with the ground and runway but PF disconnect
False Positive,2294156,2025,Final Approach; Landing,,,,,0,1,0.945590912531268,229,On Day 0; at approximately XA:05; flight X from ZZZ to CLT experienced a possible hard landing followed by a bounced landing and subsequent go-around. I was operating as Pilot Monitoring; with the Captain as Pilot Flying. The approach was stabilized; with the aircraft fully configured by 1;000 feet. Due to a larger aircraft ahead on final approach; we encountered some light wake turbulence. Captain requested to set 5 knots above Vref; I set It  up since he was hand flying it at that point of the approach; At 500 feet; remained stable with standard callouts. During the landing flare; the aircraft experienced a hard touchdown; followed by another bounce. The Captain executed a go-around approp
False Positive,2279951,2025,Initial Approach,IMC,,,,0,1,0.9452802187164866,1257,I was the Captain and pilot flying on flight # from ZZZ1 to ZZZ.  During pre-departure review; the First Officer (FO) and I noted that convective weather was forecasted at the time of our arrival in ZZZ.  We discussed the associated weather threats and continued to monitor field conditions while enroute.During the flight we encountered numerous areas of moderate turbulence requiring us to change altitudes multiple times in attempt to find a more comfortable ride.  Our final cruising altitude was FL240 with continuous light turbulence much of the flight.  ATC advised us of holding into ZZZ.  The decision was made to slow our speed and holding was lifted prior to our arrival.An hour prior to l
False Positive,2243693,2025,Landing,,,,,0,1,0.9336930457801332,165,We had a hard landing into ORF. Winds were very gusty on the RNAV Approach into 23. Glide slope was out of service. Normal procedures were observed and at 100 feet; REF+ 5 was called. At 20-50 feet; I noticed a significant drop rate and called out speed check. We hit the runway pretty hard. I did not recall the FPM on touchdown; but I did see we were minus 5-10 knots from REF just prior to touchdown. We told the tower there was a loss of 10-15 knots just prior to landing. Cause: We believe that we lost a significant gust factor just prior to touching down. This caused a large sink rate at 20-50 feet and the aircraft landing hard. There were no large power changes done on the throttle to caus
False Positive,2299649,2025,Initial Approach,VMC,,Night,,0,1,0.932581479904121,521,At 1;500 ft AGL just inside of the final approach fix; an aircraft on the ground crossed the approach end of the runway through the ILS critical area. ATC was utilizing ILS approaches to XXC in VMC conditions. As the aircraft crossed through the critical area; the ILS glideslope became erratic and dropped down multiple degrees of deviation. The Autopilot was engaged and attempted to track the glideslope; causing a sudden pitch downward while tracking the localizer. The descent rate reached around 1500 FPM down from what I recall.I advised that the pilot flying disconnect the Autopilot and continue handflying the approach visually. The pilot flying disconnected promptly and began to correct t
False Positive,2212023,2025,Final Approach,IMC,Turbulence; Thunderstorm; Icing; Rain; 1,Night,200,0,1,0.9311168893038392,235,Yesterday; me and my First Officer were operating flight ZZZ1 to ZZZ when a missed approach occurred while conducting the ILS XXR. The flight conditions for the last 30 minutes of the flight were filled with moderate to severe turbulence and similar precipitation.  Just inside the FAF (ZZZZZ) I got a glide-slope flag on my PFD (Primary Flight Display) followed by a LOC flag.  Soon after the flags my flight director disappeared.  Pretty soon after my flight director failed my First Officer's PFD reflected the same data (a failed LOC and glide-slope). I then called for a 'go around'. My First Officer slowly brought the power up and we proceeded to do our standardized calls.  Although power was
False Positive,2216300,2025,Initial Approach,,,Night,CLR,0,1,0.9176373643574812,291,Being vectored to do Visual approach RWY XXR backed up with RNAV X XXR. Approach left us high and fast as they were about to turn us base just outside the final approach fix. At which point I was trying to slow down and descend from 250 down to appropriate speeds for flaps. Approach cleared us for the visual but my attention was a little too focused on trying slow down that I did not press NAV early enough for the course to capture properly; instead we overshot the course by some. Once this happened I turned off the autopilot to hand fly since we had the runway in sight and our speed was back under control but still had to configure some more. We were lined up with centerline prior to FAF; I
False Positive,2201472,2025,Initial Approach,,Icing; Turbulence,Night,,0,1,0.9175839924720376,291,"I was pilot monitoring. We were cleared for visual approach to runway XX to ZZZ. Backed up by the RNAV Z XX approach. Wx conditions: sky clear; XX nm vis; winds XXX XX gust XX. Wind shear advisory's in affect and reported within last 10 minutes. On approximately a 3 mile final we received a Caution Obstacle"" annunciation. The captain who was flying immediately disconnected the auto pilot and momentarily leveled. Upon looking outside and verifying we were slightly below glide path per the PAPI we immediately corrected to on glide path via the PAPI and continued the arrival to an uneventful landing. Suggestions: The two main factors that played a role here were expectation bias as well as over"
False Positive,2207224,2025,Cruise; Final Approach,,Turbulence; Windshear,,,0,1,0.9093698859434064,1853,The following events occurred on Day 0 operating flight ZZZ - ZZZ1.This was the second flight of the day. During preflight I briefed the flight attendants that about halfway to ZZZ1 we might start to pick up some light to moderate chop. During the preflight brief I also talked with the FO; that the winds at ZZZ1 were gusting but they didn't look like anything out of the ordinary. If I recall the winds during preflight were somewhere in the range of 250 12/G21 which lined up well with runway XX. The taxi; takeoff; departure; and cruise were all normal. During the second half of cruise we started to pickup some light chop so I went ahead and told the flight attendants to finish up what they ar
False Positive,2232243,2025,Final Approach,,Turbulence; Windshear,,,0,1,0.908298050963507,198,Windshear Warning (Red PFD annunciation) encountered on short final below 1000 ft. At XA:58 the annunciation was received and the windshear escape procedure was initiated. For the ILS XXR approach the missed approach altitude was 3000 ft.; but with severe turbulence and an incredible increase in performance (increasing headwind and updrafts) the aircraft climb was going to exceed 3000 ft. The FMS Speed selection was 210 for the go-around; and as we continued to rapidly increase in speed and altitude the aircraft configuration was cleaned up to not exceed the aircraft limitations. I disengaged the automation to reduce the thrust and manually push the nose down to attempt to capture 3000 ft. T
False Positive,2263289,2025,Final Approach,VMC,,,,0,1,0.9013041406351237,661,Cleared for XXR ILS approach into ZZZ with large line of WX approaching. Nearing ZZZZZ +12NM out at 4000 feet ATC advised us due to wind shift to cancel approach clearance and turn right and maintain 4000. We were gear down flaps 15 speed 180kts. FO turned AP (Autopilot)/AT (Auto Throttles) off but never pressed TOGA buttons. As FO was struggling to fly the airplane I was cleaning up the airplane and trying to engage FMC modes to no avail. Busy watching and helping FO fly in very bumpy IMC conditions; talking to ATC and trying to reconfigure AC - I swapped out ILS frequency and cycled FDs (Flight Director). We were able to stabilize the AC at 4000 feet with proper lateral and vertical FMC gu
